cik,sub_name,parent_name,first_seen,first_filing,time_out,batch_size,cross_cik,label,match_jaccard,wikidata_company,wikidata_acquirer
0001002638,actuate corporation,open text corp,2015-07-29,2003-09-29,Between 2015-07-29 and 2016-07-27,30,0,1,1.0,Actuate Corporation,Open Text Corporation
0000200406,synthes gmbh,johnson & johnson,2013-02-22,1994-04-01,Between 2013-02-22 and 2014-02-21,40,0,1,1.0,Synthes,Johnson & Johnson
0000080424,the gillette company,procter & gamble co,2006-08-29,1994-09-14,Between 2006-08-29 and 2007-08-28,240,0,1,1.0,Gillette,Procter & Gamble
0001288776,google inc,google inc,2016-02-11,2004-04-29,Active as of 2016-02-11,1,1,1,0.5,Google Workspace,Google
0001571949,nyse euronext (holding) bv,intercontinental exchange inc,2014-02-14,2013-03-21,Between 2014-02-14 and 2015-02-05,50,0,1,0.5,NYSE Euronext Liffe,Intercontinental Exchange
0001645590,3com international inc,hewlett packard enterprise co,2020-12-10,2015-10-07,Between 2020-12-10 and 2021-12-10,42,1,1,0.5,3Com,Hewlett Packard Enterprise
0001065088,skype technologies sa,ebay inc,2006-02-24,1998-07-15,Between 2006-02-24 and 2007-02-28,47,1,1,1.0,Skype Technologies,eBay
0000106040,sandisk bv,western digital corp,2016-08-29,1996-09-18,Between 2016-08-29 and 2016-12-22,87,1,1,1.0,SanDisk,Western Digital
0000050863,mcafee inc,intel corp,2012-02-23,1994-03-25,Between 2012-02-23 and 2013-02-19,2,0,1,1.0,"McAfee, LLC",Intel
0000814453,parker pen company,newell brands inc,2007-03-01,1996-03-13,Between 2007-03-01 and 2008-02-29,11,0,1,1.0,Parker Pen Company,Newell Brands
0001534701,jet petrol limited,phillips 66,2013-02-22,2013-02-22,Between 2013-02-22 and 2014-02-21,90,1,1,0.5,Jet,Phillips 66
0000880266,massey ferguson corp,agco corp de,1997-03-28,1997-03-28,Between 1997-03-28 and 1998-03-31,49,0,1,1.0,Massey Ferguson,AGCO
0001316631,telenet nv,liberty global inc,2008-02-26,2005-05-03,Between 2008-02-26 and 2009-02-23,63,1,1,1.0,Telenet,Liberty Global
0001492633,nielsen bv,nielsen nv,2012-02-22,2010-07-08,Between 2012-02-22 and 2013-02-22,200,0,1,0.5,Nielsen Audio,Nielsen Company
0000080424,braun gmbh,procter & gamble co,2006-08-29,1994-09-14,Between 2020-08-10 and 2021-08-06,240,1,1,1.0,Braun,Procter & Gamble
0000040545,ge wind energy gmbh,general electric co,2021-03-31,1994-03-11,Between 2021-03-31 and 2022-02-11,195,0,1,1.0,GE Wind Energy,General Electric
0001675820,all media guide llc,tivo corp,2016-11-03,2016-11-03,Between 2016-11-03 and 2017-02-15,55,1,1,0.5,All Media Network,TiVo Corporation
0000880266,fendt gmbh,agco corp de,1999-03-31,1997-03-28,Between 1999-03-31 and 2000-03-28,3,0,1,1.0,Fendt,AGCO
0001570585,sunrise communications ag,liberty global plc,2021-02-16,2014-02-13,Between 2021-02-16 and 2022-02-17,53,0,1,1.0,Sunrise Communications,Liberty Global
0000040545,ge jenbacher gmbh,general electric co,2008-02-20,1994-03-11,Between 2008-02-20 and 2009-02-18,16,0,1,1.0,GE Jenbacher,General Electric
0001635327,betfair limited,flutter entertainment plc,2024-03-26,2024-03-26,Active as of 2024-03-26,51,0,1,1.0,betfair,Flutter Entertainment
0001645590,company hewlett packard enterprise,hewlett packard enterprise co,2020-12-10,2015-10-07,Between 2020-12-10 and 2021-12-10,42,0,1,0.75,Hewlett Packard Enterprise Services,Hewlett Packard Enterprise
0000080424,the folgers coffee company,procter & gamble co,2008-08-28,1994-09-14,Between 2008-08-28 and 2009-08-14,73,1,1,0.5,Folgers,Procter & Gamble
0001067983,fruit of the loom inc,berkshire hathaway inc,2003-03-27,1999-03-30,Between 2003-03-27 and 2004-01-30,21,1,1,1.0,Fruit of the Loom,Berkshire Hathaway
0000106040,hgst inc,western digital corp,2012-08-20,1996-09-18,Between 2012-08-20 and 2013-08-19,23,1,1,1.0,HGST,Western Digital
0000835403,the pierre smirnoff company limited,diageo plc,2010-03-31,2010-03-31,Active as of 2010-03-31,478,1,1,0.5,Smirnoff,Diageo
0000831001,citibank limited,citigroup inc,1999-03-08,1994-03-31,Between 2000-03-10 and 2000-06-30,895,0,1,1.0,Citibank,Citigroup
0001067983,the duracell company,berkshire hathaway inc,2017-02-27,1999-03-30,Between 2017-02-27 and 2018-02-26,22,0,1,1.0,Duracell,Berkshire Hathaway
0001001039,buena vista international inc,walt disney co,1995-12-28,1995-12-28,Between 1995-12-28 and 1996-12-19,18,1,1,0.75,Buena Vista International Television,The Walt Disney Company
0001116132,coach inc,tapestry inc,2010-08-25,2000-06-16,Between 2010-08-25 and 2011-08-19,9,0,1,1.0,Coach,"Tapestry, Inc."
0000827054,atmel dutch corp,microchip technology inc,2019-05-30,2000-06-07,Between 2019-05-30 and 2020-05-22,7,0,1,0.5,Atmel,Microchip Technology
0000010456,immuno ag,baxter international inc,1997-05-14,1994-03-21,Between 1997-05-14 and 2004-03-12,26,0,1,1.0,Immuno AG,Baxter International
0000732717,bellsouth corporation,at&t inc,2007-02-26,1994-03-18,Between 2007-02-26 and 2008-02-27,7,1,1,1.0,BellSouth,AT&T
0000766421,alaska airlines inc,alaska air group inc,2005-02-25,2005-02-25,Between 2005-02-25 and 2017-02-28,7,0,1,1.0,Alaska Airlines,Alaska Air Group
0000031462,nalco holding bv,ecolab inc,2013-02-26,1996-03-27,Between 2013-02-26 and 2014-02-28,201,1,1,1.0,Nalco Holding Company,Ecolab
0000078003,wyeth limited,pfizer inc,2010-02-26,1994-03-25,Between 2010-02-26 and 2011-02-28,195,0,1,1.0,Wyeth,Pfizer
0000080424,richardson vicks bv,procter & gamble co,1995-09-13,1994-09-14,Between 1995-09-13 and 1996-09-11,285,0,1,0.5,Vicks,Procter & Gamble
0000072945,northrop grumman,northrop grumman corp,2001-03-01,1995-03-21,Active as of 2001-03-01,63,1,1,0.5,Northrop,Northrop Grumman Corporation
0000789019,microsoft ag,microsoft corp,1998-09-25,1994-09-27,Between 1998-09-25 and 1999-09-28,62,0,1,0.5,Microsoft TechNet,Microsoft
0001137789,maxtor corporation,seagate technology plc,2006-09-11,2001-04-20,Between 2006-09-11 and 2007-08-27,32,0,1,1.0,Maxtor,Seagate Technology
0000040545,ge capital limited,general electric co,2021-03-31,1994-03-11,Between 2021-03-31 and 2022-02-11,195,1,1,1.0,GE Capital,General Electric
0000814453,waterman sas,newell brands inc,2006-02-16,1996-03-13,Between 2006-02-16 and 2007-03-01,54,0,1,0.5,Waterman,Newell Brands
0000723612,budget rent a car limited,avis budget group inc,2007-03-01,1996-04-25,Between 2007-03-01 and 2008-02-29,47,1,1,1.0,Budget Rent a Car,Avis Budget Group
0000798941,the cit group business credit llc,first citizens bancshares inc de,2023-02-24,2004-03-15,Between 2023-02-24 and 2024-02-23,4,0,1,0.5,CIT Group,First Citizens BancShares
0000037996,ford france sa,ford motor co,1994-03-21,1994-03-21,Between 1994-03-21 and 1996-03-19,46,0,1,1.0,Ford France,Ford Motor Company
0000004962,loyalty partner gmbh,american express co,2012-02-24,1994-03-31,Between 2012-02-24 and 2013-02-22,23,0,1,1.0,Loyalty Partner,American Express
0001308161,dow jones & company inc,news corp,2008-08-13,2005-09-01,Between 2008-08-13 and 2009-08-12,212,1,1,1.0,Dow Jones & Company,News Corp
0000046080,wizards of the coast inc,hasbro inc,2000-03-24,2000-03-24,Between 2000-03-24 and 2001-04-02,50,0,1,1.0,Wizards of the Coast,Hasbro
0000789019,nuance communications inc,microsoft corp,2022-07-28,1994-09-27,Active as of 2022-07-28,1,0,1,1.0,Nuance Communications,Microsoft
0001288776,jaiku ltd,google inc,2008-02-15,2004-04-29,Between 2008-02-15 and 2009-02-13,22,0,1,1.0,Jaiku,Google
0001308161,factiva inc,news corp,2008-08-13,2005-09-01,Between 2008-08-13 and 2009-08-12,212,1,1,1.0,Factiva,News Corp
0000764478,future shop (us) lp,best buy co inc,2002-05-30,1996-02-12,Between 2002-05-30 and 2003-05-30,16,0,1,0.6667,Future Shop,Best Buy
0001001039,walt disney pictures,walt disney co,2011-11-23,1995-12-28,Between 2011-11-23 and 2012-11-21,14,1,1,0.6,Walt Disney Motion Pictures Group,The Walt Disney Company
0000047129,dollar thrifty automotive group inc,hertz corp,2013-01-31,1994-03-08,Between 2013-01-31 and 2013-03-04,31,1,1,1.0,Dollar Thrifty Automotive Group,The Hertz Corporation
0000040533,electric boat,general dynamics corp,2003-03-24,1994-03-29,Between 2003-03-24 and 2004-03-05,23,0,1,0.5,General Dynamics Electric Boat,General Dynamics
0000080424,pantene ag,procter & gamble co,1995-09-13,1994-09-14,Between 1995-09-13 and 1996-09-11,285,0,1,1.0,Pantene,Procter & Gamble
0000040545,ge water & process technologies canada,general electric co,2008-02-20,1994-03-11,Between 2008-02-20 and 2009-02-18,16,0,1,0.4,GE Water,General Electric
0000040730,ibc vehicles,general motors corp,1995-03-13,1994-03-29,Between 1995-03-13 and 1995-11-14,350,0,1,1.0,IBC Vehicles,General Motors
0001166691,plaxo inc,comcast corp,2009-02-20,2003-03-20,Between 2009-02-20 and 2010-02-23,38,0,1,1.0,Plaxo,Comcast
0001001039,the disney store inc,walt disney co,1995-12-28,1995-12-28,Between 1995-12-28 and 1996-12-19,18,1,1,1.0,Disney Store,The Walt Disney Company
0001288776,doubleclick asia ltd,google inc,2009-02-13,2004-04-29,Between 2009-02-13 and 2010-02-12,33,0,1,0.5,DoubleClick,Google
0000029989,ddb worldwide ltd,omnicom group inc,2000-03-30,1994-03-30,Between 2000-03-30 and 2001-03-27,508,0,1,1.0,DDB Worldwide,Omnicom Group
0000040545,company ge healthcare,general electric co,2021-03-31,1994-03-11,Between 2021-03-31 and 2022-02-11,195,1,1,1.0,GE HealthCare,General Electric
0001160106,lloyds bank plc,lloyds banking group plc,2014-03-06,2014-03-06,Active as of 2014-03-06,1041,0,1,1.0,Lloyds Bank,Lloyds Banking Group
0000723125,elpida memory inc,micron technology inc,2013-10-28,1994-09-23,Between 2013-10-28 and 2014-10-27,4,0,1,1.0,Elpida Memory,Micron Technology
0001570585,virgin media inc,liberty global plc,2016-02-16,2014-02-13,Between 2016-02-16 and 2017-02-16,66,1,1,1.0,Virgin Media,Liberty Global
0001001039,marvel entertainment llc,walt disney co,2010-11-24,1995-12-28,Between 2010-11-24 and 2011-11-23,17,1,1,1.0,Marvel Entertainment,The Walt Disney Company
0001018840,hollister co,abercrombie & fitch co de,2004-04-14,1996-07-17,Between 2004-04-14 and 2005-04-14,13,0,1,1.0,Hollister Co.,Abercrombie & Fitch
0001326380,geeknet inc,gamestop corp,2016-03-28,2006-04-03,Between 2016-03-28 and 2018-04-02,9,0,1,1.0,Geeknet,GameStop
0001133421,scaled composites inc,northrop grumman corp de,2002-07-17,2001-05-23,Between 2002-07-17 and 2003-03-24,133,1,1,1.0,Scaled Composites,Northrop Grumman Corporation
0001341439,hyperion solutions corporation,oracle corp,2007-06-29,2006-07-21,Between 2007-06-29 and 2008-07-02,102,1,1,1.0,Hyperion Solutions Corporation,Oracle Corporation
0000040545,ge capital aviation services llc,general electric co,2021-03-31,1994-03-11,Between 2021-03-31 and 2022-02-11,195,0,1,1.0,GE Capital Aviation Services,General Electric
0000037996,ford motor credit company,ford motor co,1994-03-21,1994-03-21,Between 1994-03-21 and 1996-03-19,46,0,1,1.0,Ford Motor Credit Company,Ford Motor Company
0000037996,ford argentina sa,ford motor co,1996-03-19,1994-03-21,Between 1996-03-19 and 1997-03-18,10,0,1,1.0,Ford Argentina,Ford Motor Company
0001067983,mouser electronics inc,berkshire hathaway inc,2014-03-03,1999-03-30,Between 2014-03-03 and 2015-03-02,16,0,1,1.0,"Mouser Electronics, Inc",Berkshire Hathaway
0001166691,united international pictures of panama inc,comcast corp,2023-02-03,2003-03-20,Between 2023-02-03 and 2024-01-31,688,0,1,0.75,United International Pictures,Comcast
0000040533,gulfstream aerospace corporation,general dynamics corp,2000-03-27,1994-03-29,Between 2000-03-27 and 2001-03-29,30,1,1,1.0,Gulfstream Aerospace,General Dynamics
0000880266,laverda spa,agco corp de,2008-02-29,1997-03-28,Between 2008-02-29 and 2009-02-27,8,0,1,0.5,Laverda,AGCO
0001744489,hulu llc,walt disney co,2020-11-25,2020-11-25,Between 2020-11-25 and 2021-11-24,73,0,1,1.0,Hulu,The Walt Disney Company
0001571949,interactive data corporation,intercontinental exchange inc,2016-02-04,2013-03-21,Between 2016-02-04 and 2017-02-07,5,1,1,1.0,Interactive Data Corporation,Intercontinental Exchange
0000040730,opel eisenach gmbh,general motors corp,1995-03-13,1994-03-29,Between 1995-03-13 and 1995-11-14,350,1,1,1.0,Opel Eisenach,General Motors
0001275283,r j reynolds tobacco bv,reynolds american inc,2005-03-09,2005-03-09,Between 2005-03-09 and 2006-10-03,33,1,1,1.0,R. J. Reynolds Tobacco Company,Reynolds American
0000029989,tbwa worldwide inc,omnicom group inc,1999-03-30,1994-03-30,Between 1999-03-30 and 2000-03-30,320,0,1,1.0,TBWA Worldwide,Omnicom Group
0001137789,lacie ag,seagate technology plc,2013-08-08,2001-04-20,Between 2020-08-10 and 2021-08-06,20,0,1,1.0,LaCie,Seagate Technology
0000777676,peoplesoft canada co,oracle corp de,2005-07-01,1994-07-27,Active as of 2005-07-01,45,1,1,0.5,PeopleSoft,Oracle Corporation
0001122787,napster llc,roxio inc,2003-06-30,2001-04-09,Between 2003-06-30 and 2004-06-14,2,1,1,1.0,Napster,Roxio
0001067983,pacificorp,berkshire hathaway inc,2007-03-01,1999-03-30,Between 2007-03-01 and 2008-02-29,42,1,1,1.0,PacifiCorp,Berkshire Hathaway
0001133421,litton industries inc,northrop grumman corp de,2002-03-22,2001-05-23,Between 2002-03-22 and 2002-07-17,2,0,1,1.0,Litton Industries,Northrop Grumman Corporation
0000018230,perkins engines company limited,caterpillar inc,2000-03-30,1994-03-02,Between 2000-03-30 and 2000-05-31,71,0,1,1.0,Perkins Engines,Caterpillar Inc.
0000080424,max factor & co,procter & gamble co,1995-09-13,1994-09-14,Between 1995-09-13 and 1996-09-11,285,0,1,1.0,Max Factor,Procter & Gamble
0000831001,banco nacional de mexico sa,citigroup inc,2002-03-12,1994-03-31,Between 2002-03-12 and 2003-03-03,368,0,1,0.5,Banco Nacional de México,Citigroup
0001339947,mtv japan inc,viacom inc,2008-02-28,2005-11-23,Between 2008-02-28 and 2009-02-12,63,0,1,1.0,MTV Japan,Viacom
0000039911,old navy inc,gap inc,1998-04-03,1994-04-22,Between 1998-04-03 and 1999-04-02,33,0,1,1.0,Old Navy,Gap Inc.
0001067983,burlington northern santa fe llc,berkshire hathaway inc,2011-02-28,1999-03-30,Between 2011-02-28 and 2012-02-27,15,0,1,1.0,Burlington Northern Santa Fe Corporation,Berkshire Hathaway
0000064803,cvs pharmacy inc,melville corp,1998-03-31,1996-11-04,Between 1998-03-31 and 1999-03-31,12,0,1,1.0,CVS Pharmacy,Melville Corporation
0000905036,marriott hotels (reading) limited,marriott international inc,1997-03-05,1997-03-05,Between 1997-03-05 and 1998-02-23,14,1,1,0.5,JW Marriott Hotels,Marriott International
0001156375,board of trade of the city of chicago inc,cme group inc,2008-02-28,2002-03-28,Between 2008-02-28 and 2009-03-02,10,1,1,0.75,Chicago Board of Trade,CME Group
0001156375,chicago mercantile exchange inc,cme group inc,2002-03-28,2002-03-28,Between 2002-03-28 and 2006-03-06,2,0,1,1.0,Chicago Mercantile Exchange,CME Group
0001048911,tnt express bv,fedex corp,2016-07-18,1998-08-14,Between 2016-07-18 and 2017-07-17,25,0,1,1.0,TNT Express,FedEx
0000110471,hush puppies (uk) ltd,wolverine world wide inc de,1997-03-28,1994-03-31,Between 1997-03-28 and 1998-04-01,3,0,1,0.6667,Hush Puppies,Wolverine World Wide
0001001039,disney book group llc,walt disney co,2013-11-20,1995-12-28,Between 2013-11-20 and 2014-11-19,14,0,1,0.5,Disney Music Group,The Walt Disney Company
0001001039,the walt disney company,walt disney co,1995-12-28,1995-12-28,Between 1995-12-28 and 1996-12-19,18,0,1,0.6667,Walt Disney Imagineering,The Walt Disney Company
0001341439,siebel systems inc,oracle corp,2006-07-21,2006-07-21,Between 2006-07-21 and 2007-06-29,232,0,1,1.0,Siebel Systems,Oracle Corporation
0001326380,thinkgeek inc,gamestop corp,2016-03-28,2006-04-03,Between 2016-03-28 and 2018-04-02,9,1,1,1.0,ThinkGeek,GameStop
0001437107,warner bros discovery receivables funding llc,warner bros discovery inc,2023-02-24,2008-08-01,Between 2023-02-24 and 2024-02-23,863,0,1,0.5,Warner Bros. Discovery EMEA,Warner Bros. Discovery
0001001039,imagemovers digital llc,walt disney co,2009-12-02,1995-12-28,Between 2009-12-02 and 2010-11-24,16,0,1,0.5,ImageMovers,The Walt Disney Company
0000718877,shaba games inc,activision blizzard inc,2002-06-28,1997-06-16,Between 2002-06-28 and 2003-06-19,9,0,1,1.0,Shaba Games,Activision Blizzard
0000200406,neutrogena corporation,johnson & johnson,1995-02-03,1994-04-01,Between 1995-02-03 and 1995-04-03,46,0,1,1.0,Neutrogena,Johnson & Johnson
0000777676,jd edwards europe ltd,oracle corp de,2005-07-01,1994-07-27,Active as of 2005-07-01,45,1,1,0.6667,JD Edwards,Oracle Corporation
0001058623,citadel broadcasting company,cumulus media inc,2012-03-12,1998-05-18,Between 2012-03-12 and 2013-03-18,65,1,1,1.0,Citadel Broadcasting,Cumulus Media
0000200406,janssen vaccines ag,johnson & johnson,2016-02-24,1994-04-01,Between 2016-02-24 and 2017-02-27,14,0,1,1.0,Janssen Vaccines,Johnson & Johnson
0001001039,disney consumer products inc,walt disney co,2010-11-24,1995-12-28,Between 2010-11-24 and 2011-11-23,17,1,1,1.0,Disney Consumer Products,The Walt Disney Company
0000731766,amil international,unitedhealth group inc,2018-02-13,1995-03-28,Between 2018-02-13 and 2019-02-12,393,0,1,0.5,Amil,UnitedHealth Group
0001069157,east west bank,east west bancorp inc,1998-09-17,1998-09-17,Between 1998-09-17 and 2016-02-26,2,0,1,1.0,East West Bank,East West Bancorp
0000764478,geek squad inc,best buy co inc,2003-05-30,1996-02-12,Between 2003-05-30 and 2004-04-29,11,0,1,1.0,Geek Squad,Best Buy
0001001039,hong kong international theme parks limited,walt disney co,2005-12-07,1995-12-28,Between 2005-12-07 and 2006-11-22,5,1,1,1.0,Hong Kong International Theme Parks,The Walt Disney Company
0000063276,hit entertainment limited,mattel inc de,2022-02-28,1994-03-25,Between 2022-02-28 and 2024-03-15,2,0,1,1.0,HIT Entertainment,Mattel
0001560385,sirius xm holdings inc,liberty media corp,2014-02-28,2012-10-19,Between 2014-02-28 and 2015-02-26,20,0,1,0.6667,Sirius XM,Liberty Media
0000813828,paramount parks inc,viacom inc,1994-03-31,1994-03-31,Between 1994-03-31 and 1996-04-01,166,1,1,1.0,Paramount Parks,Viacom
0000811532,paramount parks inc,cedar fair l p,2007-03-01,2007-03-01,Between 2007-03-01 and 2011-03-01,13,1,1,1.0,Paramount Parks,Cedar Fair
0001001039,disney online studios ca,walt disney co,2011-11-23,1995-12-28,Between 2011-11-23 and 2012-11-21,14,0,1,0.6,Disney Online Studios Canada,The Walt Disney Company
0001127248,nova scotia power inc,emera inc,2016-12-01,2016-12-01,Between 2016-12-01 and 2024-11-15,128,1,1,1.0,Nova Scotia Power,Emera
0000814453,reynolds pens india private limited,newell brands inc,2018-03-01,1996-03-13,Between 2018-03-01 and 2019-03-04,117,0,1,0.6,Reynolds Pens India Pvt. Ltd.,Newell Brands
0000701374,six flags great escape lp,six flags inc,2008-03-13,1995-10-17,Between 2008-03-13 and 2009-03-11,6,0,1,0.5714,Six Flags Great Escape Lodge & Indoor Waterpark,Six Flags
0001001039,walt disney parks and resorts llc,walt disney co,2005-12-07,1995-12-28,Between 2005-12-07 and 2006-11-22,5,0,1,0.8,Walt Disney Parks and Resorts U.S.,The Walt Disney Company
0001001039,walt disney pictures and television,walt disney co,1995-12-28,1995-12-28,Between 1995-12-28 and 1996-12-19,18,1,1,0.75,Walt Disney Television,The Walt Disney Company
0001001039,abc family worldwide inc,walt disney co,2002-12-04,1995-12-28,Between 2002-12-04 and 2004-12-13,1,1,1,1.0,ABC Family Worldwide,The Walt Disney Company
0000106640,admiral international corporation,whirlpool corp de,2008-02-22,1995-03-17,Between 2008-02-22 and 2009-02-19,176,0,1,0.5,Admiral,Whirlpool
0001067983,lubrizol limited,berkshire hathaway inc,2024-02-26,1999-03-30,Active as of 2024-02-26,17,1,1,1.0,Lubrizol,Berkshire Hathaway
0001688568,dxc technology bv,dxc technology co,2019-06-13,2017-02-14,Between 2019-06-13 and 2020-06-01,70,0,1,0.6667,DXC Technology Maroc,DXC Technology
0001570585,itv betriebsgesellschaft gmbh,liberty global plc,2021-02-16,2014-02-13,Between 2021-02-16 and 2022-02-17,53,0,1,0.5,ITV plc,Liberty Global
0001001039,the walt disney company (southeast asia) pte ltd,walt disney co,2010-11-24,1995-12-28,Between 2010-11-24 and 2011-11-23,17,0,1,1.0,The Walt Disney Company Southeast Asia,The Walt Disney Company
0001635327,timeform limited,flutter entertainment plc,2024-03-26,2024-03-26,Active as of 2024-03-26,51,0,1,1.0,Timeform,Flutter Entertainment
0001001039,utv software communications limited,walt disney co,2012-11-21,1995-12-28,Between 2012-11-21 and 2013-11-20,19,1,1,1.0,UTV Software Communications,The Walt Disney Company
0001106051,multichoice africa limited,naspers ltd,2002-11-01,2002-11-01,Active as of 2002-11-01,23,1,1,0.5,MultiChoice,Naspers
0000200406,ethicon,johnson & johnson,2011-02-25,1994-04-01,Between 2011-02-25 and 2012-02-23,26,0,1,1.0,Ethicon Inc.,Johnson & Johnson
0000040730,gm powertrain holding bv,general motors corp,2007-03-15,1994-03-29,Between 2007-03-15 and 2008-02-28,23,1,1,0.5,GM Powertrain Torino,General Motors
0000858339,horseshoe gaming holding corp,caesars entertainment corp,2005-03-01,1994-03-28,Between 2005-03-01 and 2005-10-18,22,0,1,1.0,Horseshoe Gaming Holding Corporation,Caesars Entertainment Corporation
0001635327,paddy power (northern ireland) limited,flutter entertainment plc,2024-03-26,2024-03-26,Active as of 2024-03-26,51,0,1,0.5,Paddy Power,Flutter Entertainment
0000913949,allaire corporation,macromedia inc,2002-06-12,1996-06-27,Between 2002-06-12 and 2003-06-09,2,1,1,1.0,Allaire Corporation,Macromedia
0001616318,bell sports corp,vista outdoor inc,2016-05-27,2015-06-01,Between 2016-05-27 and 2017-05-26,17,1,1,1.0,Bell Sports,Vista Outdoor
0001166691,big idea entertainment llc,comcast corp,2023-02-03,2003-03-20,Between 2023-02-03 and 2024-01-31,688,1,1,1.0,Big Idea Entertainment,Comcast
0000356213,boomtown llc,pinnacle entertainment inc,2004-03-10,1996-09-18,Between 2004-03-10 and 2005-03-16,5,1,1,1.0,"Boomtown, Inc.",Pinnacle Entertainment
0001467858,chevrolet europe gmbh,general motors co,2009-08-07,2009-08-07,Between 2009-08-07 and 2010-04-07,340,0,1,1.0,Chevrolet Europe,General Motors
0001534701,phillips chemical holdings company,phillips 66,2013-02-22,2013-02-22,Between 2013-02-22 and 2014-02-21,90,1,1,0.5,Chevron Phillips Chemical,Phillips 66
0000831001,citigroup global markets japan inc,citigroup inc,2010-02-26,1994-03-31,Between 2010-02-26 and 2011-02-25,14,0,1,1.0,Citigroup Global Markets Japan,Citigroup
0001687221,collins industries inc,rev group inc,2017-12-21,2016-10-24,Between 2017-12-21 and 2018-12-19,33,1,1,1.0,Collins Industries,REV Group
0001166691,comcast interactive media inc,comcast corp,2007-02-26,2003-03-20,Between 2007-02-26 and 2008-02-20,50,0,1,1.0,Comcast Interactive Media,Comcast
0000866873,contadina foods inc,del monte foods co,1998-03-04,1997-06-12,Between 1998-03-04 and 1999-09-07,1,1,1,0.5,Contadina,Del Monte Foods
0000032604,chloride group limited,emerson electric co,2010-11-23,1994-12-22,Between 2010-11-23 and 2011-11-22,130,1,1,1.0,Chloride Group,Emerson Electric
0001089874,cityline zao,golden telecom inc,2002-03-29,1999-09-22,Between 2002-03-29 and 2003-03-28,20,0,1,0.5,Cityline,Golden Telecom
0000022301,comcast spectacor lp,comcast corp,1998-03-03,1995-02-28,Between 1998-03-03 and 1999-02-26,365,1,1,1.0,Comcast Spectacor,Comcast
0000096021,brake bros ltd,sysco corp,2018-08-27,1994-09-29,Between 2018-08-27 and 2019-08-26,42,0,1,1.0,Brake Bros Ltd,Sysco
